sampleid	samplecode	forward-absolute-filepath	reverse-absolute-filepath	Matrix	Spiked_CFU	Condition	Replicate	qPCR	Spike_code1	Spike_code2	Both_cond_seq	Region	seqdate
Blank	2023-16S-0001	/home/laurenbradford/Salmspike_16S/V3-V4/2023-16S-0001_S1_L001_R1_001.fastq.gz	/home/laurenbradford/Salmspike_16S/V3-V4/2023-16S-0001_S1_L001_R2_001.fastq.gz	Neg Ctrl	NA	NA	NA	NA	NA	Blank	FALSE	V3V4	20230502
negA-DirExt-CS	2023-16S-0002	/home/laurenbradford/Salmspike_16S/V3-V4/2023-16S-0002_S2_L001_R1_001.fastq.gz	/home/laurenbradford/Salmspike_16S/V3-V4/2023-16S-0002_S2_L001_R2_001.fastq.gz	Caeca	0	Direct	A	neg	neg	negA	TRUE	V3V4	20230502
negB-DirExt-CS	2023-16S-0003	/home/laurenbradford/Salmspike_16S/V3-V4/2023-16S-0003_S3_L001_R1_001.fastq.gz	/home/laurenbradford/Salmspike_16S/V3-V4/2023-16S-0003_S3_L001_R2_001.fastq.gz	Caeca	0	Direct	B	neg	neg	negB	TRUE	V3V4	20230502
negC-DirExt-CS	2023-16S-0004	/home/laurenbradford/Salmspike_16S/V3-V4/2023-16S-0004_S4_L001_R1_001.fastq.gz	/home/laurenbradford/Salmspike_16S/V3-V4/2023-16S-0004_S4_L001_R2_001.fastq.gz	Caeca	0	Direct	C	neg	neg	negC	TRUE	V3V4	20230502
3A-DirExt-CS	2023-16S-0005	/home/laurenbradford/Salmspike_16S/V3-V4/2023-16S-0005_S5_L001_R1_001.fastq.gz	/home/laurenbradford/Salmspike_16S/V3-V4/2023-16S-0005_S5_L001_R2_001.fastq.gz	Caeca	592	Direct	A	neg	3	3A	TRUE	V3V4	20230502
3B-DirExt-CS	2023-16S-0006	/home/laurenbradford/Salmspike_16S/V3-V4/2023-16S-0006_S6_L001_R1_001.fastq.gz	/home/laurenbradford/Salmspike_16S/V3-V4/2023-16S-0006_S6_L001_R2_001.fastq.gz	Caeca	592	Direct	B	neg	3	3B	TRUE	V3V4	20230502
3C-DirExt-CS	2023-16S-0007	/home/laurenbradford/Salmspike_16S/V3-V4/2023-16S-0007_S7_L001_R1_001.fastq.gz	/home/laurenbradford/Salmspike_16S/V3-V4/2023-16S-0007_S7_L001_R2_001.fastq.gz	Caeca	592	Direct	C	neg	3	3C	TRUE	V3V4	20230502
4A-DirExt-CS	2023-16S-0008	/home/laurenbradford/Salmspike_16S/V3-V4/2023-16S-0008_S8_L001_R1_001.fastq.gz	/home/laurenbradford/Salmspike_16S/V3-V4/2023-16S-0008_S8_L001_R2_001.fastq.gz	Caeca	5920	Direct	A	neg	4	4A	TRUE	V3V4	20230502
4B-DirExt-CS	2023-16S-0017	/home/laurenbradford/Salmspike_16S/V3-V4/2023-16S-0017_S17_L001_R1_001.fastq.gz	/home/laurenbradford/Salmspike_16S/V3-V4/2023-16S-0017_S17_L001_R2_001.fastq.gz	Caeca	5920	Direct	B	neg	4	4B	TRUE	V3V4	20230502
4C-DirExt-CS	2023-16S-0018	/home/laurenbradford/Salmspike_16S/V3-V4/2023-16S-0018_S18_L001_R1_001.fastq.gz	/home/laurenbradford/Salmspike_16S/V3-V4/2023-16S-0018_S18_L001_R2_001.fastq.gz	Caeca	5920	Direct	C	neg	4	4C	TRUE	V3V4	20230502
