Spike_code2	Matrix	Spiked_CFU	Condition	Both_cond_seq	Region
negA	Caeca	0	Direct	TRUE	V3V4
negB	Caeca	0	Direct	TRUE	V3V4
negC	Caeca	0	Direct	TRUE	V3V4
3A	Caeca	592	Direct	TRUE	V3V4
3B	Caeca	592	Direct	TRUE	V3V4
3C	Caeca	592	Direct	TRUE	V3V4
4A	Caeca	5920	Direct	TRUE	V3V4
4B	Caeca	5920	Direct	TRUE	V3V4
4C	Caeca	5920	Direct	TRUE	V3V4
5A	Caeca	59200	Direct	FALSE	V3V4
5B	Caeca	59200	Direct	FALSE	V3V4
5C	Caeca	59200	Direct	FALSE	V3V4
6A	Caeca	592000	Direct	FALSE	V3V4
6B	Caeca	592000	Direct	FALSE	V3V4
6C	Caeca	592000	Direct	FALSE	V3V4
negA	Caeca	0	Enriched	TRUE	V3V4
negB	Caeca	0	Enriched	TRUE	V3V4
negC	Caeca	0	Enriched	TRUE	V3V4
1A	Caeca	6	Enriched	FALSE	V3V4
1B	Caeca	6	Enriched	FALSE	V3V4
1C	Caeca	6	Enriched	FALSE	V3V4
2A	Caeca	59	Enriched	FALSE	V3V4
2B	Caeca	59	Enriched	FALSE	V3V4
2C	Caeca	59	Enriched	FALSE	V3V4
3A	Caeca	592	Enriched	TRUE	V3V4
3B	Caeca	592	Enriched	TRUE	V3V4
3C	Caeca	592	Enriched	TRUE	V3V4
4A	Caeca	5920	Enriched	TRUE	V3V4
4B	Caeca	5920	Enriched	TRUE	V3V4
4C	Caeca	5920	Enriched	TRUE	V3V4
negA	Feed	0	Direct	TRUE	V3V4
negB	Feed	0	Direct	TRUE	V3V4
negC	Feed	0	Direct	TRUE	V3V4
2A	Feed	75	Direct	FALSE	V3V4
2B	Feed	75	Direct	FALSE	V3V4
2C	Feed	75	Direct	FALSE	V3V4
3A	Feed	750	Direct	FALSE	V3V4
3B	Feed	750	Direct	FALSE	V3V4
3C	Feed	750	Direct	FALSE	V3V4
4A	Feed	7500	Direct	FALSE	V3V4
4B	Feed	7500	Direct	FALSE	V3V4
4C	Feed	7500	Direct	FALSE	V3V4
5A	Feed	75000	Direct	FALSE	V3V4
5B	Feed	75000	Direct	FALSE	V3V4
5C	Feed	75000	Direct	FALSE	V3V4
0A	Feed	0.75	Enriched	FALSE	V3V4
0B	Feed	0.75	Enriched	FALSE	V3V4
0C	Feed	0.75	Enriched	FALSE	V3V4
0D	Feed	0.75	Enriched	FALSE	V3V4
0E	Feed	0.75	Enriched	FALSE	V3V4
0F	Feed	0.75	Enriched	FALSE	V3V4
1D	Feed	7.5	Enriched	FALSE	V3V4
1E	Feed	7.5	Enriched	FALSE	V3V4
1F	Feed	7.5	Enriched	FALSE	V3V4
negA	Feed	0	Enriched	TRUE	V3V4
negB	Feed	0	Enriched	TRUE	V3V4
negC	Feed	0	Enriched	TRUE	V3V4
