sampleid	forward-absolute-filepath	reverse-absolute-filepath	Matrix	Spiked_CFU	Condition	Replicate	qPCR	Spike_code1	Spike_code2	Both_cond_seq
0A-BPW-CS	/home/laurenbradford/Salmspike_16S/Raw_run2/Caeca_16S/0A-BPW_CS-ShotSeq_WON1680A53-19_S11_L002_R1_001.fastq.gz	/home/laurenbradford/Salmspike_16S/Raw_run2/Caeca_16S/0A-BPW_CS-ShotSeq_WON1680A53-19_S11_L002_R2_001.fastq.gz	Caeca	0.6	Enriched	A	neg	0	0A	TRUE
0A-DE-CS	/home/laurenbradford/Salmspike_16S/Raw_run2/Caeca_16S/0A-DirExt_CS-ShotSeq_WON1680A53-43_S38_L002_R1_001.fastq.gz	/home/laurenbradford/Salmspike_16S/Raw_run2/Caeca_16S/0A-DirExt_CS-ShotSeq_WON1680A53-43_S38_L002_R2_001.fastq.gz	Caeca	0.6	Direct	A	neg	0	0A	TRUE
0B-BPW-CS	/home/laurenbradford/Salmspike_16S/Raw_run2/Caeca_16S/0B-BPW_CS-ShotSeq_WON1680A53-20_S13_L002_R1_001.fastq.gz	/home/laurenbradford/Salmspike_16S/Raw_run2/Caeca_16S/0B-BPW_CS-ShotSeq_WON1680A53-20_S13_L002_R2_001.fastq.gz	Caeca	0.6	Enriched	B	neg	0	0B	TRUE
0B-DE-CS	/home/laurenbradford/Salmspike_16S/Raw_run2/Caeca_16S/0B-DirExt_CS-ShotSeq_WON1680A53-44_S39_L002_R1_001.fastq.gz	/home/laurenbradford/Salmspike_16S/Raw_run2/Caeca_16S/0B-DirExt_CS-ShotSeq_WON1680A53-44_S39_L002_R2_001.fastq.gz	Caeca	0.6	Direct	B	neg	0	0B	TRUE
0C-BPW-CS	/home/laurenbradford/Salmspike_16S/Raw_run2/Caeca_16S/0C-BPW_CS-ShotSeq_WON1680A53-21_S14_L002_R1_001.fastq.gz	/home/laurenbradford/Salmspike_16S/Raw_run2/Caeca_16S/0C-BPW_CS-ShotSeq_WON1680A53-21_S14_L002_R2_001.fastq.gz	Caeca	0.6	Enriched	C	neg	0	0C	TRUE
0C-DE-CS	/home/laurenbradford/Salmspike_16S/Raw_run2/Caeca_16S/0C-DirExt_CS-ShotSeq_WON1680A53-45_S40_L002_R1_001.fastq.gz	/home/laurenbradford/Salmspike_16S/Raw_run2/Caeca_16S/0C-DirExt_CS-ShotSeq_WON1680A53-45_S40_L002_R2_001.fastq.gz	Caeca	0.6	Direct	C	neg	0	0C	TRUE
1A-BPW-CS	/home/laurenbradford/Salmspike_16S/Raw_run2/Caeca_16S/1A-BPW_CS-ShotSeq_WON1680A53-16_S8_L002_R1_001.fastq.gz	/home/laurenbradford/Salmspike_16S/Raw_run2/Caeca_16S/1A-BPW_CS-ShotSeq_WON1680A53-16_S8_L002_R2_001.fastq.gz	Caeca	6	Enriched	A	neg	1	1A	TRUE
1A-DE-CS	/home/laurenbradford/Salmspike_16S/Raw_run2/Caeca_16S/1A-DirExt_CS-ShotSeq_WON1680A53-40_S35_L002_R1_001.fastq.gz	/home/laurenbradford/Salmspike_16S/Raw_run2/Caeca_16S/1A-DirExt_CS-ShotSeq_WON1680A53-40_S35_L002_R2_001.fastq.gz	Caeca	6	Direct	A	neg	1	1A	TRUE
1B-BPW-CS	/home/laurenbradford/Salmspike_16S/Raw_run2/Caeca_16S/1B-BPW_CS-ShotSeq_WON1680A53-17_S9_L002_R1_001.fastq.gz	/home/laurenbradford/Salmspike_16S/Raw_run2/Caeca_16S/1B-BPW_CS-ShotSeq_WON1680A53-17_S9_L002_R2_001.fastq.gz	Caeca	6	Enriched	B	neg	1	1B	TRUE
1B-DE-CS	/home/laurenbradford/Salmspike_16S/Raw_run2/Caeca_16S/1B-DirExt_CS-ShotSeq_WON1680A53-41_S36_L002_R1_001.fastq.gz	/home/laurenbradford/Salmspike_16S/Raw_run2/Caeca_16S/1B-DirExt_CS-ShotSeq_WON1680A53-41_S36_L002_R2_001.fastq.gz	Caeca	6	Direct	B	neg	1	1B	TRUE
1C-BPW-CS	/home/laurenbradford/Salmspike_16S/Raw_run2/Caeca_16S/1C-BPW_CS-ShotSeq_WON1680A53-18_S10_L002_R1_001.fastq.gz	/home/laurenbradford/Salmspike_16S/Raw_run2/Caeca_16S/1C-BPW_CS-ShotSeq_WON1680A53-18_S10_L002_R2_001.fastq.gz	Caeca	6	Enriched	C	neg	1	1C	TRUE
1C-DE-CS	/home/laurenbradford/Salmspike_16S/Raw_run2/Caeca_16S/1C-DirExt_CS-ShotSeq_WON1680A53-42_S37_L002_R1_001.fastq.gz	/home/laurenbradford/Salmspike_16S/Raw_run2/Caeca_16S/1C-DirExt_CS-ShotSeq_WON1680A53-42_S37_L002_R2_001.fastq.gz	Caeca	6	Direct	C	neg	1	1C	TRUE
2A-BWP-CS	/home/laurenbradford/Salmspike_16S/Raw_run2/Caeca_16S/2A-BPW_CS-ShotSeq_WON1680A53-13_S5_L002_R1_001.fastq.gz	/home/laurenbradford/Salmspike_16S/Raw_run2/Caeca_16S/2A-BPW_CS-ShotSeq_WON1680A53-13_S5_L002_R2_001.fastq.gz	Caeca	59	Enriched	A	pos	2	2A	TRUE
