Sample_number	Matrix	Sample_id	Culture	qPCR	V3V4-16S
1	Feed	OTT-FF-2022-MI-0106	0	0	0
2	Feed	OTT-FF-2022-MI-0107	0	0	0
3	Feed	OTT-FF-2022-MI-0108	0	0	0
4	Feed	OTT-FF-2022-MI-0109	0	0	0
5	Feed	OTT-FF-2022-MI-0112	0	0	0
6	Feed	OTT-FF-2022-MI-0113	0	0	0
7	Feed	OTT-FF-2022-MI-0114	0	0	0
8	Feed	OTT-FF-2022-MI-0115	0	0	0
9	Feed	OTT-FF-2022-MI-0122	0	0	0
10	Feed	OTT-FF-2022-MI-0123	0	0	0
11	Feed	OTT-FF-2022-MI-0124	0	0	0
12	Feed	OTT-FF-2022-MI-0125	0	0	0
13	Feed	OTT-FF-2022-MI-0127	0	0	0
14	Feed	OTT-FF-2022-MI-0128	1	0.5	0
15	Feed	OTT-FF-2022-MI-0129	0	0	0
16	Feed	OTT-FF-2022-MI-0130	1	1	0
17	Feed	OTT-FF-2022-MI-0131	0	0	0
18	Feed	OTT-FF-2022-MI-0132	0	0	0
19	Feed	OTT-FF-2022-MI-0133	1	1	0
20	Feed	OTT-FF-2022-MI-0134	1	1	1
21	Feed	OTT-FF-2022-MI-0139	0	0	0
22	Feed	OTT-FF-2022-MI-0140	0	0	0
23	Feed	OTT-FF-2022-MI-0141	0	0	0
24	Feed	OTT-FF-2022-MI-0142	0	0	0
25	Feed	OTT-FF-2022-MI-0143	0	0	0
26	Feed	OTT-FF-2022-MI-0144	0	0	0
27	Feed	OTT-FF-2022-MI-0145	0	0	0
28	Feed	OTT-FF-2022-MI-0146	0	0	0
29	Feed	OTT-FF-2022-MI-0147	0	0	0
30	Feed	OTT-FF-2022-MI-0148	0	0	0
31	Feed	OTT-FF-2022-MI-0149	0	0	0
32	Feed	OTT-FF-2022-MI-0150	0	0	0
33	Feed	OTT-FF-2022-MI-0151	0	0	0
34	Feed	OTT-FF-2022-MI-0156	0	0	0
35	Feed	OTT-FF-2022-MI-0157	0	0	0
36	Feed	OTT-FF-2022-MI-0158	0	0	0
37	Feed	OTT-FF-2022-MI-0159	1	1	0
38	Feed	OTT-FF-2022-MI-0160	0	0	0
39	Feed	OTT-FF-2022-MI-0161	0	0	0
40	Feed	OTT-FF-2022-MI-0162	0	0	0
41	Feed	OTT-FF-2022-MI-0163	0	0	0
42	Feed	OTT-FF-2022-MI-0164	0	0	0
43	Feed	OTT-FF-2022-MI-0167	0	0	0
44	Feed	OTT-FF-2022-MI-0168	0	0	0
45	Feed	OTT-FF-2022-MI-0169	1	0.5	0
46	Feed	OTT-FF-2022-MI-0170	0	0	0
47	Feed	OTT-FF-2022-MI-0171	0	0	0
48	Feed	OTT-FF-2022-MI-0172	0	0	0
1	Caeca	SH2261006	0	0	0
2	Caeca	SH2261007	0	0	0
3	Caeca	SH2261008	0	0	0
4	Caeca	SH2261009	0	0	0
5	Caeca	SH2261010	0	0	0
6	Caeca	SH2261011	0	0	0
7	Caeca	SH2261012	0	0	0
8	Caeca	SH2261013	0	0	0
9	Caeca	SH2261014	0	0	0
10	Caeca	SH2261015	0	0	0
11	Caeca	SH2261016	0	0	0
12	Caeca	SH2261017	1	0.5	0
13	Caeca	SH2261025	0	0	0
14	Caeca	SH2261026	0	0	0
15	Caeca	SH2261027	0	0	0
16	Caeca	SH2261028	0	0	0
17	Caeca	SH2261029	0	0	0
18	Caeca	SH2261030	0	0	0
19	Caeca	SH2261031	0	0	0
20	Caeca	SH2261032	1	1	0
21	Caeca	SH2261033	0	0	0
22	Caeca	SH2261034	0	0	0
23	Caeca	SH2261045	0	0	0
24	Caeca	SH2261046	0	0	0
25	Caeca	SH2261047	0	0	0
26	Caeca	SH2261048	0	0	0
27	Caeca	SH2261049	1	1	1
28	Caeca	SH2261050	0	0	0
29	Caeca	SH2261051	0	0	0
30	Caeca	SH2261052	0	0	0
31	Caeca	SH2261053	0	0	0
32	Caeca	SH2261054	1	1	1
33	Caeca	SH2261055	1	1	0
34	Caeca	SH2261056	1	1	0
35	Caeca	SH2261057	0	0	0
36	Caeca	SH2261058	0	0	0
37	Caeca	SH2261059	0	0	0
38	Caeca	SH2261070	0	0	0
39	Caeca	SH2261071	1	1	0
40	Caeca	SH2261072	0	0	0
41	Caeca	SH2261073	1	0.5	0
42	Caeca	SH2261074	0	0	0
43	Caeca	SH2261075	0	0	0
44	Caeca	SH2261076	0	0	0
45	Caeca	SH2261077	0	0	0
46	Caeca	SH2261078	0	0	0
47	Caeca	SH2261085	1	1	0
48	Caeca	SH2261086	1	1	0
49	Caeca	SH2261087	0	0	0
50	Caeca	SH2261088	1	1	0
51	Caeca	SH2261089	1	1	0
52	Caeca	SH2261090	0	0	0
53	Caeca	SH2261091	0	0	0
54	Caeca	SH2261092	0	0	0
55	Caeca	SH2261093	0	0	0
56	Caeca	SH2261094	1	0.5	0
