Sample	Matrix	Spikecellsperg	Replicate	Treatment	gene	copiesperng
6A	Caeca	592000	A	Enriched	stn	13.10829614
6B	Caeca	592000	B	Enriched	stn	602.4794743
6C	Caeca	592000	C	Enriched	stn	240.7409792
5A	Caeca	59200	A	Enriched	stn	7.810701834
5B	Caeca	59200	B	Enriched	stn	14.88192269
5C	Caeca	59200	C	Enriched	stn	23.47224673
4A	Caeca	5920	A	Enriched	stn	1.052407419
4B	Caeca	5920	B	Enriched	stn	8.238544115
4C	Caeca	5920	C	Enriched	stn	2.27052578
3A	Caeca	592	A	Enriched	stn	0.214479287
3B	Caeca	592	B	Enriched	stn	0.022221609
3C	Caeca	592	C	Enriched	stn	0.710443105
2A	Caeca	59	A	Enriched	stn	0.040408189
2B	Caeca	59	B	Enriched	stn	0
2C	Caeca	59	C	Enriched	stn	0.009837858
1A	Caeca	6	A	Enriched	stn	0
1B	Caeca	6	B	Enriched	stn	0.00191128
1C	Caeca	6	C	Enriched	stn	0
1D	Caeca	6	D	Enriched	stn	0
1E	Caeca	6	E	Enriched	stn	0
1F	Caeca	6	F	Enriched	stn	0
0A	Caeca	0.6	A	Enriched	stn	0
0B	Caeca	0.6	B	Enriched	stn	0
0C	Caeca	0.6	C	Enriched	stn	0
0D	Caeca	0.6	D	Enriched	stn	0
0E	Caeca	0.6	E	Enriched	stn	0
0F	Caeca	0.6	F	Enriched	stn	0
negA	Caeca	0	A	Enriched	stn	0
negB	Caeca	0	B	Enriched	stn	0
negC	Caeca	0	C	Enriched	stn	0
6A	Caeca	592000	A	Unenriched	stn	0.902869905
6B	Caeca	592000	B	Unenriched	stn	0.781916011
6C	Caeca	592000	C	Unenriched	stn	0.734324582
5A	Caeca	59200	A	Unenriched	stn	0.049521684
5B	Caeca	59200	B	Unenriched	stn	0.064356688
5C	Caeca	59200	C	Unenriched	stn	0.086895907
4A	Caeca	5920	A	Unenriched	stn	0.004589089
4B	Caeca	5920	B	Unenriched	stn	0.004147118
4C	Caeca	5920	C	Unenriched	stn	0.004797182
3A	Caeca	592	A	Unenriched	stn	0
3B	Caeca	592	B	Unenriched	stn	0
3C	Caeca	592	C	Unenriched	stn	0
2A	Caeca	59	A	Unenriched	stn	0
2B	Caeca	59	B	Unenriched	stn	0
2C	Caeca	59	C	Unenriched	stn	0
1A	Caeca	6	A	Unenriched	stn	0
1B	Caeca	6	B	Unenriched	stn	0
1C	Caeca	6	C	Unenriched	stn	0
1D	Caeca	6	D	Unenriched	stn	0
1E	Caeca	6	E	Unenriched	stn	0
1F	Caeca	6	F	Unenriched	stn	0
0A	Caeca	0.6	A	Unenriched	stn	0
0B	Caeca	0.6	B	Unenriched	stn	0
0C	Caeca	0.6	C	Unenriched	stn	0
0D	Caeca	0.6	D	Unenriched	stn	0
0E	Caeca	0.6	E	Unenriched	stn	0
0F	Caeca	0.6	F	Unenriched	stn	0
negA	Caeca	0	A	Unenriched	stn	0
negB	Caeca	0	B	Unenriched	stn	0
negC	Caeca	0	C	Unenriched	stn	0
6A	Caeca	592000	A	Enriched	invA	14.73364205
6B	Caeca	592000	B	Enriched	invA	1043.911329
6C	Caeca	592000	C	Enriched	invA	270.4503454
5A	Caeca	59200	A	Enriched	invA	9.599732405
5B	Caeca	59200	B	Enriched	invA	17.80274218
5C	Caeca	59200	C	Enriched	invA	24.17258424
4A	Caeca	5920	A	Enriched	invA	1.153954649
4B	Caeca	5920	B	Enriched	invA	8.756009876
4C	Caeca	5920	C	Enriched	invA	2.243442975
3A	Caeca	592	A	Enriched	invA	0.159363498
3B	Caeca	592	B	Enriched	invA	0.013433175
3C	Caeca	592	C	Enriched	invA	0.514286425
2A	Caeca	59	A	Enriched	invA	0.033336294
2B	Caeca	59	B	Enriched	invA	0
2C	Caeca	59	C	Enriched	invA	0.003710442
1A	Caeca	6	A	Enriched	invA	0
1B	Caeca	6	B	Enriched	invA	0
1C	Caeca	6	C	Enriched	invA	0
1D	Caeca	6	D	Enriched	invA	0
1E	Caeca	6	E	Enriched	invA	0
1F	Caeca	6	F	Enriched	invA	0
0A	Caeca	0.6	A	Enriched	invA	0
0B	Caeca	0.6	B	Enriched	invA	0
0C	Caeca	0.6	C	Enriched	invA	0
0D	Caeca	0.6	D	Enriched	invA	0
