Sample	Matrix	Spiked_cells	Replicate	Condition	Gene	Cq
6A	Caeca	592000	A	Enriched	stn	27.38604878
6B	Caeca	592000	B	Enriched	stn	22.17257391
6C	Caeca	592000	C	Enriched	stn	23.42198011
5A	Caeca	59200	A	Enriched	stn	28.09122496
5B	Caeca	59200	B	Enriched	stn	27.21320837
5C	Caeca	59200	C	Enriched	stn	26.59258379
4A	Caeca	5920	A	Enriched	stn	30.82123751
4B	Caeca	5920	B	Enriched	stn	28.0185911
4C	Caeca	5920	C	Enriched	stn	29.77395334
3A	Caeca	592	A	Enriched	stn	33.24310572
3B	Caeca	592	B	Enriched	stn	36.47379158
3C	Caeca	592	C	Enriched	stn	31.53641785
2A	Caeca	59	A	Enriched	stn	35.62168822
2B	Caeca	59	B	Enriched	stn	45
2C	Caeca	59	C	Enriched	stn	37.63492026
1A	Caeca	6	A	Enriched	stn	45
1B	Caeca	6	B	Enriched	stn	39.93307917
1C	Caeca	6	C	Enriched	stn	45
1D	Caeca	6	D	Enriched	stn	45
1E	Caeca	6	E	Enriched	stn	45
1F	Caeca	6	F	Enriched	stn	45
0A	Caeca	0.6	A	Enriched	stn	45
0B	Caeca	0.6	B	Enriched	stn	45
0C	Caeca	0.6	C	Enriched	stn	45
0D	Caeca	0.6	D	Enriched	stn	45
0E	Caeca	0.6	E	Enriched	stn	45
0F	Caeca	0.6	F	Enriched	stn	45
negA	Caeca	0	A	Enriched	stn	45
negB	Caeca	0	B	Enriched	stn	45
negC	Caeca	0	C	Enriched	stn	45
6A	Caeca	592000	A	Enriched	invA	26.39573078
6B	Caeca	592000	B	Enriched	invA	20.69079223
6C	Caeca	592000	C	Enriched	invA	22.49930095
5A	Caeca	59200	A	Enriched	invA	26.96935601
5B	Caeca	59200	B	Enriched	invA	26.14236648
5C	Caeca	59200	C	Enriched	invA	25.73281109
4A	Caeca	5920	A	Enriched	invA	29.80608155
4B	Caeca	5920	B	Enriched	invA	27.0925372
